Date : 2022-01-06 12:01:40
Directory : d:\Euler
Total : 213 files,  11407 codes, 153 comments, 2867 blanks, all 14427 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        195 |      9,460 |        101 |      2,516 |     12,077 |
| C++      |         15 |      1,774 |         52 |        349 |      2,175 |
| XML      |          1 |        158 |          0 |          0 |        158 |
| Log      |          2 |         15 |          0 |          2 |         17 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------+------------+------------+------------+------------+------------+
| path                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------+------------+------------+------------+------------+------------+
| .                                          |        213 |     11,407 |        153 |      2,867 |     14,427 |
| pr668                                      |         13 |      1,316 |         50 |        218 |      1,584 |
| pr668\AVLTree                              |          6 |      1,033 |         50 |        193 |      1,276 |
| pr668\pr668                                |          7 |        283 |          0 |         25 |        308 |
| pr668\pr668\Debug                          |          1 |          5 |          0 |          1 |          6 |
| pr668\pr668\x64                            |          1 |         10 |          0 |          1 |         11 |
| pr668\pr668\x64\Release                    |          1 |         10 |          0 |          1 |         11 |
+--------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------+----------+------------+------------+------------+------------+
| filename                                   | language | code       | comment    | blank      | total      |
+--------------------------------------------+----------+------------+------------+------------+------------+
| d:\Euler\continued_fractions.py            | Python   |        107 |          1 |         19 |        127 |
| d:\Euler\diophantine_equation.py           | Python   |        392 |         13 |         93 |        498 |
| d:\Euler\euclidean_alg.py                  | Python   |         15 |          0 |          4 |         19 |
| d:\Euler\fibonacci.py                      | Python   |         11 |          0 |          4 |         15 |
| d:\Euler\power.py                          | Python   |          8 |          0 |          1 |          9 |
| d:\Euler\pr1.py                            | Python   |         21 |          0 |          4 |         25 |
| d:\Euler\pr10.py                           | Python   |          6 |          0 |          2 |          8 |
| d:\Euler\pr100.py                          | Python   |         20 |          1 |          5 |         26 |
| d:\Euler\pr101.py                          | Python   |         15 |          1 |          4 |         20 |
| d:\Euler\pr102.py                          | Python   |         77 |          0 |         12 |         89 |
| d:\Euler\pr103.py                          | Python   |        173 |          1 |         42 |        216 |
| d:\Euler\pr104.py                          | Python   |         31 |          0 |          9 |         40 |
| d:\Euler\pr105.py                          | Python   |         27 |          0 |          9 |         36 |
| d:\Euler\pr106.py                          | Python   |         17 |          1 |          4 |         22 |
| d:\Euler\pr107.py                          | Python   |         36 |          0 |         10 |         46 |
| d:\Euler\pr108.py                          | Python   |         23 |          2 |          4 |         29 |
| d:\Euler\pr109.py                          | Python   |         21 |          0 |          6 |         27 |
| d:\Euler\pr11.py                           | Python   |         52 |          0 |          9 |         61 |
| d:\Euler\pr110.py                          | Python   |         43 |          0 |         14 |         57 |
| d:\Euler\pr111.py                          | Python   |         74 |          0 |         15 |         89 |
| d:\Euler\pr112.py                          | Python   |         28 |          0 |          4 |         32 |
| d:\Euler\pr113.py                          | Python   |         40 |          0 |          7 |         47 |
| d:\Euler\pr114.py                          | Python   |         24 |          0 |          9 |         33 |
| d:\Euler\pr115.py                          | Python   |         24 |          0 |          7 |         31 |
| d:\Euler\pr116.py                          | Python   |         25 |          0 |          8 |         33 |
| d:\Euler\pr117.py                          | Python   |         27 |          0 |          9 |         36 |
| d:\Euler\pr118.py                          | Python   |        182 |          0 |         42 |        224 |
| d:\Euler\pr119.py                          | Python   |         52 |          0 |         12 |         64 |
| d:\Euler\pr12.py                           | Python   |         10 |          0 |          4 |         14 |
| d:\Euler\pr120.py                          | Python   |         12 |          0 |          2 |         14 |
| d:\Euler\pr121.py                          | Python   |         14 |          0 |          4 |         18 |
| d:\Euler\pr122.py                          | Python   |         50 |          0 |         13 |         63 |
| d:\Euler\pr123.py                          | Python   |         12 |          0 |          2 |         14 |
| d:\Euler\pr124.py                          | Python   |         12 |          0 |          3 |         15 |
| d:\Euler\pr125.py                          | Python   |         21 |          0 |          7 |         28 |
| d:\Euler\pr126.py                          | Python   |         58 |          1 |         17 |         76 |
| d:\Euler\pr127.py                          | Python   |        139 |          2 |         43 |        184 |
| d:\Euler\pr128.py                          | Python   |         73 |          2 |         22 |         97 |
| d:\Euler\pr129_130_132_133.py              | Python   |         84 |          2 |         17 |        103 |
| d:\Euler\pr13.py                           | Python   |          8 |          0 |          1 |          9 |
| d:\Euler\pr131.py                          | Python   |         12 |          0 |          3 |         15 |
| d:\Euler\pr133.py                          | Python   |         34 |          1 |          9 |         44 |
| d:\Euler\pr134.py                          | Python   |         19 |          0 |          4 |         23 |
| d:\Euler\pr135.py                          | Python   |         18 |          0 |          3 |         21 |
| d:\Euler\pr137.py                          | Python   |        132 |          0 |         22 |        154 |
| d:\Euler\pr138.py                          | Python   |          8 |          0 |          2 |         10 |
| d:\Euler\pr139.py                          | Python   |         14 |          0 |          4 |         18 |
| d:\Euler\pr14.py                           | Python   |         12 |          0 |          2 |         14 |
| d:\Euler\pr140.py                          | Python   |         29 |          0 |         11 |         40 |
| d:\Euler\pr141.py                          | Python   |         61 |          0 |         12 |         73 |
| d:\Euler\pr142.py                          | Python   |         21 |          0 |          5 |         26 |
| d:\Euler\pr143.py                          | Python   |         53 |          0 |         12 |         65 |
| d:\Euler\pr144.py                          | Python   |         17 |          0 |          4 |         21 |
| d:\Euler\pr145.py                          | Python   |         20 |          2 |          4 |         26 |
| d:\Euler\pr146.py                          | Python   |         23 |          0 |          6 |         29 |
| d:\Euler\pr147.py                          | Python   |         40 |          1 |         14 |         55 |
| d:\Euler\pr148.py                          | Python   |         22 |          0 |         14 |         36 |
| d:\Euler\pr149.py                          | Python   |         92 |          0 |         29 |        121 |
| d:\Euler\pr150.py                          | Python   |         36 |          0 |          8 |         44 |
| d:\Euler\pr151.py                          | Python   |         53 |          0 |         21 |         74 |
| d:\Euler\pr152.py                          | Python   |        243 |          0 |         79 |        322 |
| d:\Euler\pr153.py                          | Python   |         91 |          0 |         28 |        119 |
| d:\Euler\pr154.py                          | Python   |         96 |          1 |         26 |        123 |
| d:\Euler\pr155.py                          | Python   |         18 |          0 |          5 |         23 |
| d:\Euler\pr156.py                          | Python   |         18 |          0 |          6 |         24 |
| d:\Euler\pr157.py                          | Python   |         21 |          0 |          5 |         26 |
| d:\Euler\pr158.py                          | Python   |         43 |          1 |         12 |         56 |
| d:\Euler\pr159.py                          | Python   |         77 |          0 |         21 |         98 |
